"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"110101010001",,2025,,
"110102010001",,2025,,
"11010201000101",,2025,,
"11010201000104",,2025,,
"11010301000102",,2025,,
"11010301000103",,2025,,
"11010301000104",,2025,,
"110105010001",,2025,,
"11010501000102",,2025,,
"110402190001",,2025,,
"110402200001",,2025,,
"110403080001",,2025,,
"110609010001",,2025,,
"4",PENDAPATAN DAERAH,2025,,
"41",PENDAPATAN ASLI DAERAH (PAD),2025,,
"4101",Pajak Daerah,2025,,
"410101",Pajak Kendaraan Bermotor (PKB),2025,PKB,"001"
"41010101",PKB-Mobil Penumpang-Sedan,2025,,
"410101010001",PKB-Mobil Penumpang-Sedan-Pribadi,2025,,
"410101010002",PKB-Mobil Penumpang-Sedan-Umum,2025,,
"410101010003",PKB-Mobil Penumpang-Sedan-Pemerintah Pusat,2025,,
"410101010004",PKB-Mobil Penumpang-Sedan-Pemerintah Daerah,2025,,
"41010102",PKB-Mobil Penumpang-Jeep,2025,,
"410101020001",PKB-Mobil Penumpang-Jeep-Pribadi,2025,,
"410101020002",PKB-Mobil Penumpang-Jeep-Umum,2025,,
"410101020003",PKB-Mobil Penumpang-Jeep-Pemerintah Pusat,2025,,
"410101020004",PKB-Mobil Penumpang-Jeep-Pemerintah Daerah,2025,,
"41010103",PKB-Mobil Penumpang-Minibus,2025,,
"410101030001",PKB-Mobil Penumpang-Minibus-Pribadi,2025,,
"410101030002",PKB-Mobil Penumpang-Minibus-Umum,2025,,
"410101030003",PKB-Mobil Penumpang-Minibus-Pemerintah Pusat,2025,,
"410101030004",PKB-Mobil Penumpang-Minibus-Pemerintah Daerah,2025,,
"41010104",PKB-Mobil Bus-Microbus,2025,,
"410101040001",PKB-Mobil Bus-Microbus-Pribadi,2025,,
"410101040002",PKB-Mobil Bus-Microbus-Umum,2025,,
"410101040003",PKB-Mobil Bus-Microbus-Pemerintah Pusat,2025,,
"410101040004",PKB-Mobil Bus-Microbus-Pemerintah Daerah,2025,,
"41010105",PKB-Mobil Bus-Bus,2025,,
"410101050001",PKB-Mobil Bus-Bus-Pribadi,2025,,
"410101050002",PKB-Mobil Bus-Bus-Umum,2025,,
"410101050003",PKB-Mobil Bus-Bus-Pemerintah Pusat,2025,,
"410101050004",PKB-Mobil Bus-Bus-Pemerintah Daerah,2025,,
"41010106",PKB-Mobil Barang/Beban-Pick Up,2025,,
"410101060001",PKB-Mobil Barang/Beban-Pick Up-Pribadi,2025,,
"410101060002",PKB-Mobil Barang/Beban-Pick Up-Umum,2025,,
"410101060003",PKB-Mobil Barang/Beban-Pick Up-,2025,,
"410101060004",PKB-Mobil Barang/Beban-Pick Up- Pemerintah Daerah,2025,,
"41010107",PKB-Mobil Barang/Beban-Light Truck,2025,,
"410101070001",PKB-Mobil Barang/Beban-Light Truck-Pribadi,2025,,
"410101070002",PKB-Mobil Barang/Beban-Light Truck-Umum,2025,,
"410101070003",PKB-Mobil Barang/Beban-Light Truck- Pemerintah Pusat,2025,,
"410101070004",PKB-Mobil Barang/Beban-Light Truck- Pemerintah Daerah,2025,,
"41010108",PKB-Mobil Barang/Beban-Truck,2025,,
"410101080001",PKB-Mobil Barang/Beban-Truck-Pribadi,2025,,
"410101080002",PKB-Mobil Barang/Beban-Truck-Umum,2025,,
"410101080003",PKB-Mobil Barang/Beban-Truck-Pemerintah Pusat,2025,,
"410101080004",PKB-Mobil Barang/Beban-Truck-Pemerintah Daerah,2025,,
"41010109",PKB-Mobil Barang/Beban-Blind Van,2025,,
"410101090001",PKB-Mobil Barang/Beban-Blind Van-Pribadi,2025,,
"410101090002",PKB-Mobil Barang/Beban-Blind Van-Umum,2025,,
"410101090003",PKB-Mobil Barang/Beban-Blind Van- Pemerintah Pusat,2025,,
"410101090004",PKB-Mobil Barang/Beban-Blind Van- Pemerintah Daerah,2025,,
"41010110",PKB-Sepeda Motor-Sepeda Motor Roda Dua,2025,,
"410101100001",PKB-Sepeda Motor-Sepeda Motor Roda Dua- Pribadi,2025,,
"410101100002",PKB-Sepeda Motor-Sepeda Motor Roda Dua- Umum,2025,,
"410101100003",PKB-Sepeda Motor-Sepeda Motor Roda Dua- Pemerintah Pusat,2025,,
"410101100004",PKB-Sepeda Motor-Sepeda Motor Roda Dua- Pemerintah Daerah,2025,,
"41010111",PKB-Sepeda Motor-Sepeda Motor Roda Tiga,2025,,
"410101110001",PKB-Sepeda Motor-Sepeda Motor Roda Tiga- Pribadi,2025,,
"410101110002",PKB-Sepeda Motor-Sepeda Motor Roda Tiga- Umum,2025,,
"410101110003",PKB-Sepeda Motor-Sepeda Motor Roda Tiga- Pemerintah Pusat,2025,,
"410101110004",PKB-Sepeda Motor-Sepeda Motor Roda Tiga- Pemerintah Daerah,2025,,
"41010112",PKB-Kendaraan Bermotor yang Dioperasikan di Air,2025,,
"410101120001",PKB-Kendaraan Bermotor yang Dioperasikan di Air-Pribadi,2025,,
"410101120002",PKB-Kendaraan Bermotor yang Dioperasikan di Air-Umum,2025,,
"410101120003",PKB-Kendaraan Bermotor yang Dioperasikan di Air-Pemerintah Pusat,2025,,
"410101120004",PKB-Kendaraan Bermotor yang Dioperasikan di Air-Pemerintah Daerah,2025,,
"41010113",PKB-Kendaraan Khusus Alat Berat/Alat Besar,2025,,
"410101130001",PKB-Kendaraan Khusus Alat Berat/Alat Besar-Pribadi,2025,,
"410101130002",PKB-Kendaraan Khusus Alat Berat/Alat Besar-Umum,2025,,
"410101130003",PKB-Kendaraan Khusus Alat Berat/Alat Besar-Pemerintah Pusat,2025,,
"410101130004",PKB-Kendaraan Khusus Alat Berat/Alat Besar-Pemerintah Daerah,2025,,
"41010114",PKB-Mobil Roda Tiga,2025,,
"410101140001",PKB-Mobil Roda Tiga-Pribadi,2025,,
"410101140002",PKB-Mobil Roda Tiga-Umum,2025,,
"410101140003",PKB-Mobil Roda Tiga-Pemerintah Pusat,2025,,
"410101140004",PKB-Mobil Roda Tiga-Pemerintah Daerah,2025,,
"410102",Bea Balik Nama Kendaraan Bermotor (BBNKB),2025,BBNKB,"002"
"41010201",BBNKB-Mobil Penumpang-Sedan,2025,,
"410102010001",BBNKB-Mobil Penumpang-Sedan,2025,,
"41010202",BBNKB-Mobil Penumpang-Jeep,2025,,
"410102020001",BBNKB-Mobil Penumpang-Jeep,2025,,
"41010203",BBNKB-Mobil Penumpang-Minibus,2025,,
"410102030001",BBNKB-Mobil Penumpang-Minibus,2025,,
"41010204",BBNKB-Mobil Bus-Microbus,2025,,
"410102040001",BBNKB-Mobil Bus-Microbus,2025,,
"41010205",BBNKB-Mobil Bus-Bus,2025,,
"410102050001",BBNKB-Mobil Bus-Bus,2025,,
"41010206",BBNKB-Mobil Barang/Beban-Pick Up,2025,,
"410102060001",BBNKB-Mobil Barang/Beban-Pick Up,2025,,
"41010207",BBNKB-Mobil Barang/Beban-Light Truck,2025,,
"410102070001",BBNKB-Mobil Barang/Beban-Light Truck,2025,,
"41010208",BBNKB-Mobil Barang/Beban-Truck,2025,,
"410102080001",BBNKB-Mobil Barang/Beban-Truck,2025,,
"41010209",BBNKB-Mobil Barang/Beban-Blind Van,2025,,
"410102090001",BBNKB-Mobil Barang/Beban-Blind Van,2025,,
